State,"ApprovedPPP Loans","Approved PPPAmount",State_name,lat,long,match
AK,"4,842","$921,927,504 ","Alaska, USA",64.724809,-153.629618,success
AL,"27,922","$4,862,690,120 ","Alabama, USA",32.688053,-86.810585,success
AR,"21,754","$2,722,726,557 ","Arkansas, USA",34.755883,-92.640559,success
AS,2,"$419,583 ","Ash, Vancouver, WA, USA",45.658165,-122.583599,doubt
AZ,"19,280","$4,846,959,062 ","Arizona, USA",34.255149,-111.62621,success
CA,"112,967","$33,413,693,192 ","California, USA",36.531544,-119.586168,success
CO,"41,635","$7,392,960,359 ","Colorado, USA",38.996664,-105.547822,success
CT,"18,435","$4,151,934,451 ","Connecticut, USA",41.580163,-72.756629,success
DC,"3,253","$1,247,218,727 ","District of Columbia, USA",38.912097,-77.014683,success
DE,"5,171","$1,090,415,848 ","Delaware, USA",38.978849,-75.46014,success
FL,"88,997","$17,863,199,837 ","Florida, USA",27.97762,-81.769611,success
GA,"48,332","$9,464,475,442 ","Georgia, USA",32.53951,-83.380775,success
GU,508,"$102,418,346 ","Cobalt, MO, USA",37.545284,-90.286347,doubt
HI,"11,553","$2,046,450,982 ","Hawaii, USA",19.647634,-155.533256,success
IA,"29,424","$4,315,688,444 ","Iowa, USA",42.039943,-93.500069,success
ID,"13,627","$1,850,034,026 ","Idaho, USA",43.764877,-114.964267,success
IL,"69,893","$15,972,578,071 ","Illinois, USA",40.265028,-89.191575,success
IN,"35,990","$7,491,445,351 ","Indiana, USA",39.904493,-86.250281,success
KS,"26,245","$4,288,652,108 ","Kansas, USA",38.500327,-98.380429,success
KY,"23,797","$4,149,467,684 ","Kentucky, USA",37.696825,-84.924095,success
LA,"26,635","$5,100,534,501 ","Louisiana, USA",30.542601,-92.51441,success
MA,"46,937","$10,360,907,178 ","Massachusetts, USA",42.358752,-71.531484,success
MD,"26,068","$6,537,733,687 ","Maryland, USA",39.038828,-76.346717,success
ME,"14,993","$1,944,425,549 ","Maine, USA",45.243327,-69.171071,success
MI,"43,438","$10,381,310,070 ","Michigan, USA",43.924812,-84.633107,success
MN,"46,383","$9,014,060,040 ","Minnesota, USA",46.63636,-94.579641,success
MO,"46,481","$7,547,822,023 ","Missouri, USA",38.353141,-92.747022,success
MP,56,"$12,619,835 ",MP,failed,failed,failed
MS,"20,748","$2,481,000,606 ","Mississippi, USA",32.921921,-89.687118,success
MT,"13,456","$1,470,300,136 ","Montana, USA",47.001265,-109.645406,success
NC,"39,520","$8,005,752,270 ","North Carolina, USA",35.387362,-78.455056,success
ND,"11,002","$1,548,384,035 ","North Dakota, USA",47.471495,-100.469096,success
NE,"23,477","$2,988,890,489 ","Nebraska, USA",41.499671,-99.810075,success
NH,"11,582","$2,006,858,477 ","New Hampshire, USA",43.644386,-71.586283,success
NJ,"33,519","$9,527,794,260 ","New Jersey, USA",39.66502,-74.738208,success
NM,"8,277","$1,424,408,711 ","New Mexico, USA",34.498624,-106.108278,success
NV,"8,674","$2,013,939,889 ","Nevada, USA",39.440688,-116.598569,success
NY,"81,075","$20,345,681,101 ","New York, USA",43.408777,-74.871618,success
OH,"59,800","$14,108,889,927 ","Ohio, USA",40.262259,-82.883453,success
OK,"35,557","$4,615,708,450 ","Oklahoma, USA",35.455622,-97.508021,success
OR,"18,732","$3,806,104,476 ","Oregon, USA",43.854178,-120.526709,success
PA,"69,567","$15,697,648,689 ","Pennsylvania, USA",40.860198,-77.838617,success
PR,"2,856","$658,573,638 ",PR,failed,failed,failed
RI,"7,732","$1,335,777,801 ","Rhode Island, USA",41.587536,-71.514739,success
SC,"22,933","$3,807,578,397 ","South Carolina, USA",33.702857,-80.627523,success
SD,"11,324","$1,369,616,339 ","South Dakota, USA",44.470716,-100.229958,success
TN,"34,035","$6,542,045,089 ","Tennessee, USA",35.820245,-86.343764,success
TX,"134,737","$28,483,710,273 ","Texas, USA",31.030974,-98.326329,success
UT,"21,257","$3,695,399,459 ","Utah, USA",39.098999,-111.878816,success
VA,"40,371","$8,721,170,223 ","Virginia, USA",37.73086,-78.376655,success
VI,240,"$62,242,612 ",VI,failed,failed,failed
VT,"6,983","$1,000,127,478 ","Vermont, USA",44.211857,-72.681238,success
WA,"30,421","$6,959,680,159 ","Washington, USA",47.372269,-120.59234,success
WI,"43,395","$8,317,705,842 ","Wisconsin, USA",44.356004,-89.466198,success
WV,"7,861","$1,351,223,328 ","West Virginia, USA",38.720281,-80.649428,success
WY,"7,618","$837,018,372 ",,,,
